City,CityCode,District,DistrictCode,Ward,WardCode,Level,English
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Trống,00070,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Cửa Nam,00073,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Bông,00076,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Tràng Tiền,00079,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Trần Hưng Đạo,00082,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Phan Chu Trinh,00085,Phường,
Thành phố Hà Nội,01,Quận Hoàn Kiếm,002,Phường Hàng Bài,00088,Phường,
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Phú Thượng,00091,Phường,
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Nhật Tân,00094,Phường,
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Tứ Liên,00097,Phường,
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Quảng An,00100,Phường,
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Xuân La,00103,Phường,
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Yên Phụ,00106,Phường,
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Bưởi,00109,Phường,
Thành phố Hà Nội,01,Quận Tây Hồ,003,Phường Thụy Khuê,00112,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Thượng Thanh,00115,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Ngọc Thụy,00118,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Giang Biên,00121,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Đức Giang,00124,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Việt Hưng,00127,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Gia Thụy,00130,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Ngọc Lâm,00133,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Phúc Lợi,00136,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Bồ Đề,00139,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Sài Đồng,00142,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Long Biên,00145,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Thạch Bàn,00148,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Phúc Đồng,00151,Phường,
Thành phố Hà Nội,01,Quận Long Biên,004,Phường Cự Khối,00154,Phường,
Thành phố Hà Nội,01,Quận Cầu Giấy,005,Phường Nghĩa Đô,00157,Phường,
Thành phố Hà Nội,01,Quận Cầu Giấy,005,Phường Nghĩa Tân,00160,Phường,
Thành phố Hà Nội,01,Quận Cầu Giấy,005,Phường Mai Dịch,00163,Phường,
Thành phố Hà Nội,01,Quận Cầu Giấy,005,Phường Dịch Vọng,00166,Phường,
Thành phố Hà Nội,01,Quận Cầu Giấy,005,Phường Dịch Vọng Hậu,00167,Phường,Dich Vong Hau Commune
Thành phố Hà Nội,01,Quận Cầu Giấy,005,Phường Quan Hoa,00169,Phường,
Thành phố Hà Nội,01,Quận Cầu Giấy,005,Phường Yên Hoà,00172,Phường,
Thành phố Hà Nội,01,Quận Cầu Giấy,005,Phường Trung Hoà,00175,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Cát Linh,00178,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Văn Miếu,00181,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Quốc Tử Giám,00184,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Láng Thượng,00187,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Ô Chợ Dừa,00190,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Văn Chương,00193,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Hàng Bột,00196,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Láng Hạ,00199,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Khâm Thiên,00202,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Thổ Quan,00205,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Nam Đồng,00208,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Trung Phụng,00211,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Quang Trung,00214,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Trung Liệt,00217,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Phương Liên,00220,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Thịnh Quang,00223,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Trung Tự,00226,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Kim Liên,00229,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Phương Mai,00232,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Ngã Tư Sở,00235,Phường,
Thành phố Hà Nội,01,Quận Đống Đa,006,Phường Khương Thượng,00238,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Nguyễn Du,00241,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Bạch Đằng,00244,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Phạm Đình Hổ,00247,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Bùi Thị Xuân,00250,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Ngô Thì Nhậm,00253,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Lê Đại Hành,00256,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Đồng Nhân,00259,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Phố Huế,00262,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Đống Mác,00265,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Thanh Lương,00268,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Thanh Nhàn,00271,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Cầu Dền,00274,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Bách Khoa,00277,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Đồng Tâm,00280,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Vĩnh Tuy,00283,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Bạch Mai,00286,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Quỳnh Mai,00289,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Quỳnh Lôi,00292,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Minh Khai,00295,Phường,
Thành phố Hà Nội,01,Quận Hai Bà Trưng,007,Phường Trương Định,00298,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Thanh Trì,00301,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Vĩnh Hưng,00304,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Định Công,00307,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Mai Động,00310,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Tương Mai,00313,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Đại Kim,00316,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Tân Mai,00319,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Hoàng Văn Thụ,00322,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Giáp Bát,00325,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Lĩnh Nam,00328,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Thịnh Liệt,00331,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Trần Phú,00334,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Hoàng Liệt,00337,Phường,
Thành phố Hà Nội,01,Quận Hoàng Mai,008,Phường Yên Sở,00340,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Nhân Chính,00343,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Thượng Đình,00346,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Khương Trung,00349,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Khương Mai,00352,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Thanh Xuân Trung,00355,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Phương Liệt,00358,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Hạ Đình,00361,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Khương Đình,00364,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Thanh Xuân Bắc,00367,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Thanh Xuân Nam,00370,Phường,
Thành phố Hà Nội,01,Quận Thanh Xuân,009,Phường Kim Giang,00373,Phường,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Thị trấn Sóc Sơn,00376,Thị trấn,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Bắc Sơn,00379,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Minh Trí,00382,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Hồng Kỳ,00385,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Nam Sơn,00388,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Trung Giã,00391,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Tân Hưng,00394,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Minh Phú,00397,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Phù Linh,00400,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Bắc Phú,00403,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Tân Minh,00406,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Quang Tiến,00409,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Hiền Ninh,00412,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Tân Dân,00415,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Tiên Dược,00418,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Việt Long,00421,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Xuân Giang,00424,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Mai Đình,00427,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Đức Hoà,00430,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Thanh Xuân,00433,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Đông Xuân,00436,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Kim Lũ,00439,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Phú Cường,00442,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Phú Minh,00445,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Phù Lỗ,00448,Xã,
Thành phố Hà Nội,01,Huyện Sóc Sơn,016,Xã Xuân Thu,00451,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Thị trấn Đông Anh,00454,Thị trấn,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Xuân Nộn,00457,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Thuỵ Lâm,00460,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Bắc Hồng,00463,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Nguyên Khê,00466,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Nam Hồng,00469,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Tiên Dương,00472,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Vân Hà,00475,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Uy Nỗ,00478,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Vân Nội,00481,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Liên Hà,00484,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Việt Hùng,00487,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Kim Nỗ,00490,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Kim Chung,00493,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Dục Tú,00496,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Đại Mạch,00499,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Vĩnh Ngọc,00502,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Cổ Loa,00505,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Hải Bối,00508,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Xuân Canh,00511,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Võng La,00514,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Tầm Xá,00517,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Mai Lâm,00520,Xã,
Thành phố Hà Nội,01,Huyện Đông Anh,017,Xã Đông Hội,00523,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Thị trấn Yên Viên,00526,Thị trấn,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Yên Thường,00529,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Yên Viên,00532,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Ninh Hiệp,00535,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Đình Xuyên,00538,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Dương Hà,00541,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Phù Đổng,00544,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Trung Mầu,00547,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Lệ Chi,00550,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Cổ Bi,00553,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Đặng Xá,00556,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Phú Thị,00559,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Kim Sơn,00562,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Thị trấn Trâu Quỳ,00565,Thị trấn,Trau Quy Commune
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Dương Quang,00568,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Dương Xá,00571,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Đông Dư,00574,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Đa Tốn,00577,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Kiêu Kỵ,00580,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Bát Tràng,00583,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Kim Lan,00586,Xã,
Thành phố Hà Nội,01,Huyện Gia Lâm,018,Xã Văn Đức,00589,Xã,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Cầu Diễn,00592,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Xuân Phương,00622,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Phương Canh,00623,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Mỹ Đình 1,00625,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Mỹ Đình 2,00626,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Tây Mỗ,00628,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Mễ Trì,00631,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Phú Đô,00632,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Đại Mỗ,00634,Phường,
Thành phố Hà Nội,01,Quận Nam Từ Liêm,019,Phường Trung Văn,00637,Phường,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Thị trấn Văn Điển,00640,Thị trấn,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Tân Triều,00643,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Thanh Liệt,00646,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Tả Thanh Oai,00649,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Hữu Hoà,00652,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Tam Hiệp,00655,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Tứ Hiệp,00658,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Yên Mỹ,00661,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Vĩnh Quỳnh,00664,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Ngũ Hiệp,00667,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Duyên Hà,00670,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Ngọc Hồi,00673,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Vạn Phúc,00676,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Đại áng,00679,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Liên Ninh,00682,Xã,
Thành phố Hà Nội,01,Huyện Thanh Trì,020,Xã Đông Mỹ,00685,Xã,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Thượng Cát,00595,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Liên Mạc,00598,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Đông Ngạc,00601,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Đức Thắng,00602,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Thụy Phương,00604,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Tây Tựu,00607,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Xuân Đỉnh,00610,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Xuân Tảo,00611,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Minh Khai,00613,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Cổ Nhuế 1,00616,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Cổ Nhuế 2,00617,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Phú Diễn,00619,Phường,
Thành phố Hà Nội,01,Quận Bắc Từ Liêm,021,Phường Phúc Diễn,00620,Phường,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Thị trấn Chi Đông,08973,Thị trấn,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Đại Thịnh,08974,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Kim Hoa,08977,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Thạch Đà,08980,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tiến Thắng,08983,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tự Lập,08986,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Thị trấn Quang Minh,08989,Thị trấn,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Thanh Lâm,08992,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tam Đồng,08995,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Liên Mạc,08998,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Vạn Yên,09001,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Chu Phan,09004,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tiến Thịnh,09007,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Mê Linh,09010,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Văn Khê,09013,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Hoàng Kim,09016,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tiền Phong,09019,Xã,
Thành phố Hà Nội,01,Huyện Mê Linh,250,Xã Tráng Việt,09022,Xã,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Nguyễn Trãi,09538,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Mộ Lao,09541,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Văn Quán,09542,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Vạn Phúc,09544,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Yết Kiêu,09547,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Quang Trung,09550,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường La Khê,09551,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Phú La,09552,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Phúc La,09553,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Hà Cầu,09556,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Yên Nghĩa,09562,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Kiến Hưng,09565,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Phú Lãm,09568,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Phú Lương,09571,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Dương Nội,09886,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Đồng Mai,10117,Phường,
Thành phố Hà Nội,01,Quận Hà Đông,268,Phường Biên Giang,10123,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Lê Lợi,09574,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Phú Thịnh,09577,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Ngô Quyền,09580,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Quang Trung,09583,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Sơn Lộc,09586,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Xuân Khanh,09589,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Xã Đường Lâm,09592,Xã,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Viên Sơn,09595,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Xã Xuân Sơn,09598,Xã,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Trung Hưng,09601,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Xã Thanh Mỹ,09604,Xã,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Phường Trung Sơn Trầm,09607,Phường,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Xã Kim Sơn,09610,Xã,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Xã Sơn Đông,09613,Xã,
Thành phố Hà Nội,01,Thị xã Sơn Tây,269,Xã Cổ Đông,09616,Xã,
Thành phố Hà Nội,01,Huyện Ba Vì,271,Thị trấn Tây Đằng,09619,Thị trấn,
Thành phố Hà Nội,01,Huyện Ba Vì,271,Xã Phú Cường,09625,Xã,
Thành phố Hà Nội,01,Huyện Ba Vì,271,Xã Cổ Đô,09628,Xã,
